номер_опоры;материал_основания;горизонтальный/вертикальный;крепление_к;тип_воздуховода;диаметр/ширина;Ключ
Н7.0.3-1.7.17;Железобетон/кирпич;Вертикальный;Стена;Круглый;560;Железобетон/кирпичВертикальныйДаДа560
Н7.0.3-1.7.18;Железобетон/кирпич;Вертикальный;Стена;Круглый;600;Железобетон/кирпичВертикальныйДаДа600
Н7.0.3-1.7.19;Железобетон/кирпич;Вертикальный;Стена;Круглый;630;Железобетон/кирпичВертикальныйДаДа630
Н7.0.3-1.7.20;Железобетон/кирпич;Вертикальный;Стена;Круглый;710;Железобетон/кирпичВертикальныйДаДа710
Н7.0.3-1.7.21;Железобетон/кирпич;Вертикальный;Стена;Круглый;800;Железобетон/кирпичВертикальныйДаДа800
Н7.0.3-1.7.22;Железобетон/кирпич;Вертикальный;Стена;Круглый;900;Железобетон/кирпичВертикальныйДаДа900
Н7.0.3-1.7.23;Железобетон/кирпич;Вертикальный;Стена;Круглый;1000;Железобетон/кирпичВертикальныйДаДа1000
Н7.0.3-1.7.24;Железобетон/кирпич;Вертикальный;Стена;Круглый;1120;Железобетон/кирпичВертикальныйДаДа1120
Н7.0.3-1.7.25;Железобетон/кирпич;Вертикальный;Стена;Круглый;1250;Железобетон/кирпичВертикальныйДаДа1250
Н7.0.3-1.10.1;Железобетон/кирпич;Вертикальный;Стена;Прямоугольный;200;Железобетон/кирпичВертикальныйДаНет200
Н7.0.3-1.10.2;Железобетон/кирпич;Вертикальный;Стена;Прямоугольный;400;Железобетон/кирпичВертикальныйДаНет400
Н7.0.3-1.10.3;Железобетон/кирпич;Вертикальный;Стена;Прямоугольный;600;Железобетон/кирпичВертикальныйДаНет600
Н7.0.3-1.10.4;Железобетон/кирпич;Вертикальный;Стена;Прямоугольный;800;Железобетон/кирпичВертикальныйДаНет800
Н7.0.3-1.10.5;Железобетон/кирпич;Вертикальный;Стена;Прямоугольный;1000;Железобетон/кирпичВертикальныйДаНет1000
Н7.0.3-2.1.1;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;100;Металлоконструкции (швелер)ГоризонтальныйНетДа100
Н7.0.3-2.1.2;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;125;Металлоконструкции (швелер)ГоризонтальныйНетДа125
Н7.0.3-2.1.3;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;140;Металлоконструкции (швелер)ГоризонтальныйНетДа140
Н7.0.3-2.1.4;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;150;Металлоконструкции (швелер)ГоризонтальныйНетДа150
Н7.0.3-2.1.5;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;160;Металлоконструкции (швелер)ГоризонтальныйНетДа160
Н7.0.3-2.1.6;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;180;Металлоконструкции (швелер)ГоризонтальныйНетДа180
Н7.0.3-2.1.7;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;200;Металлоконструкции (швелер)ГоризонтальныйНетДа200
Н7.0.3-2.1.8;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;224;Металлоконструкции (швелер)ГоризонтальныйНетДа224
Н7.0.3-2.1.9;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;250;Металлоконструкции (швелер)ГоризонтальныйНетДа250
Н7.0.3-2.1.10;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;280;Металлоконструкции (швелер)ГоризонтальныйНетДа280
Н7.0.3-2.1.11;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;300;Металлоконструкции (швелер)ГоризонтальныйНетДа300
Н7.0.3-2.1.12;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;315;Металлоконструкции (швелер)ГоризонтальныйНетДа315
Н7.0.3-2.1.13;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;355;Металлоконструкции (швелер)ГоризонтальныйНетДа355
Н7.0.3-2.1.14;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;400;Металлоконструкции (швелер)ГоризонтальныйНетДа400
Н7.0.3-2.3.1;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;450;Металлоконструкции (швелер)ГоризонтальныйНетДа450
Н7.0.3-2.3.2;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;500;Металлоконструкции (швелер)ГоризонтальныйНетДа500
Н7.0.3-2.3.3;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;560;Металлоконструкции (швелер)ГоризонтальныйНетДа560
Н7.0.3-2.3.4;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;600;Металлоконструкции (швелер)ГоризонтальныйНетДа600
Н7.0.3-2.3.5;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;630;Металлоконструкции (швелер)ГоризонтальныйНетДа630
Н7.0.3-2.3.6;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;710;Металлоконструкции (швелер)ГоризонтальныйНетДа710
Н7.0.3-2.3.7;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;800;Металлоконструкции (швелер)ГоризонтальныйНетДа800
Н7.0.3-2.3.8;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;900;Металлоконструкции (швелер)ГоризонтальныйНетДа900
Н7.0.3-2.3.9;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;1000;Металлоконструкции (швелер)ГоризонтальныйНетДа1000
Н7.0.3-2.3.10;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;1120;Металлоконструкции (швелер)ГоризонтальныйНетДа1120
Н7.0.3-2.3.11;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;1250;Металлоконструкции (швелер)ГоризонтальныйНетДа1250
Н7.0.3-2.3.12;Металлоконструкции (швелер);Горизонтальный;Потолок;Круглый;1400;Металлоконструкции (швелер)ГоризонтальныйНетДа1400
Н7.0.3-2.9.1;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;100;Металлоконструкции (двутавр)ГоризонтальныйНетДа100
Н7.0.3-2.9.2;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;125;Металлоконструкции (двутавр)ГоризонтальныйНетДа125
Н7.0.3-2.9.3;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;140;Металлоконструкции (двутавр)ГоризонтальныйНетДа140
Н7.0.3-2.9.4;Металлоконструкции (двутавр);Горизонтальный;Потолок;Круглый;150;Металлоконструкции (двутавр)ГоризонтальныйНетДа150
