номер_опоры;крепление_к;разводка;тип_воздуховода;диаметр/ширина;выстота;расстояние_от_стены_до_оси_воздуховода;насквозь
ОВ-2.10-1;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;100;;;
ОВ-2.10-2;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;125;;;
ОВ-2.10-3;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;140;;;
ОВ-2.10-4;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;150;;;
ОВ-2.10-5;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;160;;;
ОВ-2.10-6;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;180;;;
ОВ-2.10-7;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;200;;;
ОВ-2.10-8;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;225;;;
ОВ-2.10-9;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;250;;;
ОВ-2.10-10;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;280;;;
ОВ-2.10-11;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;300;;;
ОВ-2.10-12;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;315;;;
ОВ-2.10-13;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;355;;;
ОВ-2.10-14;Металлоконструкции (швеллеры шаг до 3м);Горизонтальная/потолок;Круглый;400;;;
ОВ-2.11-1;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;450;;;
ОВ-2.11-2;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;500;;;
ОВ-2.11-3;Металлоконструкции (швеллеры с наклоном шаг до 3м);Горизонтальная/потолок;Круглый;560;;;
