номер_опоры;материал_основания;горизонтальный/вертикальный;крепление_к;условный диаметр трубы;вылет;max вертик.нагрузка;исполнение;диапазон_диаметров;тип_опоры;кол-во_труб
H6.0.1-29.6(1);Металлоконструкции (швелер);Горизонтальный;Балка;32;3000;0.3;6;39-46;Подвижная опора;3
H6.0.1-29.7(1);Металлоконструкции (швелер);Горизонтальный;Балка;40;3000;0.3;7;48-53;Подвижная опора;3
H6.0.1-29.8(1);Металлоконструкции (швелер);Горизонтальный;Балка;50;3000;0.3;8;53-58;Подвижная опора;3
H6.0.1-29.9(1);Металлоконструкции (швелер);Горизонтальный;Балка;50;3000;0.3;9;60-65;Подвижная опора;3
H6.0.1-29.10(1);Металлоконструкции (швелер);Горизонтальный;Балка;60;3000;0.3;10;67-71;Подвижная опора;3
H6.0.1-29.11(1);Металлоконструкции (швелер);Горизонтальный;Балка;65;3000;0.3;11;74-80;Подвижная опора;3
H6.0.1-29.12(1);Металлоконструкции (швелер);Горизонтальный;Балка;70;3000;0.3;12;81-86;Подвижная опора;3
H6.0.1-29.13(1);Металлоконструкции (швелер);Горизонтальный;Балка;80;3000;0.3;13;88-94;Подвижная опора;3
H6.0.1-29.14(1);Металлоконструкции (швелер);Горизонтальный;Балка;90;3000;0.3;14;99-105;Подвижная опора;3
H6.0.1-29.15(1);Металлоконструкции (швелер);Горизонтальный;Балка;100;3000;0.3;15;108-116;Подвижная опора;3
H6.0.1-29.16(1);Металлоконструкции (швелер);Горизонтальный;Балка;110;3000;0.3;16;120-130;Подвижная опора;3
H6.0.1-29.17(1);Металлоконструкции (швелер);Горизонтальный;Балка;125;3000;0.3;17;135-143;Подвижная опора;3
H6.0.1-29.18(1);Металлоконструкции (швелер);Горизонтальный;Балка;140;3000;0.3;18;145-155;Подвижная опора;3
H6.0.1-29.19(1);Металлоконструкции (швелер);Горизонтальный;Балка;150;3000;0.3;19;162-170;Подвижная опора;3
H6.0.1-29.20(1);Металлоконструкции (швелер);Горизонтальный;Балка;175;3000;0.3;20;195-205;Подвижная опора;3
H6.0.1-29.21(1);Металлоконструкции (швелер);Горизонтальный;Балка;200;3000;0.3;21;207-219;Подвижная опора;3
H6.0.1-29.22(1);Металлоконструкции (швелер);Горизонтальный;Балка;225;3000;0.3;22;248-255;Подвижная опора;3
H6.0.1-29.23(1);Металлоконструкции (швелер);Горизонтальный;Балка;250;3000;0.3;23;260-274;Подвижная опора;3
H6.0.1-29.1(2);Металлоконструкции (швелер);Горизонтальный;Балка;8;3000;0.3;1;ноя.15;Рядовая опора;3
H6.0.1-29.2(2);Металлоконструкции (швелер);Горизонтальный;Балка;10;3000;0.3;2;16-19;Рядовая опора;3
H6.0.1-29.3(2);Металлоконструкции (швелер);Горизонтальный;Балка;15;3000;0.3;3;20-24;Рядовая опора;3
H6.0.1-29.4(2);Металлоконструкции (швелер);Горизонтальный;Балка;20;3000;0.3;4;25-28;Рядовая опора;3
H6.0.1-29.5(2);Металлоконструкции (швелер);Горизонтальный;Балка;25;3000;0.3;5;32-35;Рядовая опора;3
H6.0.1-29.6(2);Металлоконструкции (швелер);Горизонтальный;Балка;32;3000;0.3;6;39-46;Рядовая опора;3
H6.0.1-29.7(2);Металлоконструкции (швелер);Горизонтальный;Балка;40;3000;0.3;7;48-53;Рядовая опора;3
H6.0.1-29.8(2);Металлоконструкции (швелер);Горизонтальный;Балка;50;3000;0.3;8;53-58;Рядовая опора;3
H6.0.1-29.9(2);Металлоконструкции (швелер);Горизонтальный;Балка;50;3000;0.3;9;60-65;Рядовая опора;3
H6.0.1-29.10(2);Металлоконструкции (швелер);Горизонтальный;Балка;60;3000;0.3;10;67-71;Рядовая опора;3
H6.0.1-29.11(2);Металлоконструкции (швелер);Горизонтальный;Балка;65;3000;0.3;11;74-80;Рядовая опора;3
H6.0.1-29.12(2);Металлоконструкции (швелер);Горизонтальный;Балка;70;3000;0.3;12;81-86;Рядовая опора;3
H6.0.1-29.13(2);Металлоконструкции (швелер);Горизонтальный;Балка;80;3000;0.3;13;88-94;Рядовая опора;3
H6.0.1-29.14(2);Металлоконструкции (швелер);Горизонтальный;Балка;90;3000;0.3;14;99-105;Рядовая опора;3
H6.0.1-29.15(2);Металлоконструкции (швелер);Горизонтальный;Балка;100;3000;0.3;15;108-116;Рядовая опора;3
H6.0.1-29.16(2);Металлоконструкции (швелер);Горизонтальный;Балка;110;3000;0.3;16;120-130;Рядовая опора;3
H6.0.1-29.17(2);Металлоконструкции (швелер);Горизонтальный;Балка;125;3000;0.3;17;135-143;Рядовая опора;3
H6.0.1-29.18(2);Металлоконструкции (швелер);Горизонтальный;Балка;140;3000;0.3;18;145-155;Рядовая опора;3
H6.0.1-29.19(2);Металлоконструкции (швелер);Горизонтальный;Балка;150;3000;0.3;19;162-170;Рядовая опора;3
H6.0.1-29.20(2);Металлоконструкции (швелер);Горизонтальный;Балка;175;3000;0.3;20;195-205;Рядовая опора;3
H6.0.1-29.21(2);Металлоконструкции (швелер);Горизонтальный;Балка;200;3000;0.3;21;207-219;Рядовая опора;3
H6.0.1-29.22(2);Металлоконструкции (швелер);Горизонтальный;Балка;225;3000;0.3;22;248-255;Рядовая опора;3
H6.0.1-29.23(2);Металлоконструкции (швелер);Горизонтальный;Балка;250;3000;0.3;23;260-274;Рядовая опора;3
H6.0.1-30.1(1);Металлоконструкции (швелер);Горизонтальный;Балка;8;3000;0.6;1;ноя.15;Подвижная опора;1
H6.0.1-30.2(1);Металлоконструкции (швелер);Горизонтальный;Балка;10;3000;0.6;2;16-19;Подвижная опора;1
H6.0.1-30.3(1);Металлоконструкции (швелер);Горизонтальный;Балка;15;3000;0.6;3;20-24;Подвижная опора;1
H6.0.1-30.4(1);Металлоконструкции (швелер);Горизонтальный;Балка;20;3000;0.6;4;25-28;Подвижная опора;1
H6.0.1-30.5(1);Металлоконструкции (швелер);Горизонтальный;Балка;25;3000;0.6;5;32-35;Подвижная опора;1
H6.0.1-30.6(1);Металлоконструкции (швелер);Горизонтальный;Балка;32;3000;0.6;6;39-46;Подвижная опора;1
H6.0.1-30.7(1);Металлоконструкции (швелер);Горизонтальный;Балка;40;3000;0.6;7;48-53;Подвижная опора;1
H6.0.1-30.8(1);Металлоконструкции (швелер);Горизонтальный;Балка;50;3000;0.9;8;53-58;Подвижная опора;1
H6.0.1-30.9(1);Металлоконструкции (швелер);Горизонтальный;Балка;50;3000;0.9;9;60-65;Подвижная опора;1
H6.0.1-30.10(1);Металлоконструкции (швелер);Горизонтальный;Балка;60;3000;0.9;10;67-71;Подвижная опора;1
H6.0.1-30.11(1);Металлоконструкции (швелер);Горизонтальный;Балка;65;3000;0.9;11;74-80;Подвижная опора;1
H6.0.1-30.12(1);Металлоконструкции (швелер);Горизонтальный;Балка;70;3000;0.9;12;81-86;Подвижная опора;1
H6.0.1-30.13(1);Металлоконструкции (швелер);Горизонтальный;Балка;80;3000;0.9;13;88-94;Подвижная опора;1
H6.0.1-30.14(1);Металлоконструкции (швелер);Горизонтальный;Балка;90;3000;1;14;99-105;Подвижная опора;1
H6.0.1-30.15(1);Металлоконструкции (швелер);Горизонтальный;Балка;100;3000;1;15;108-116;Подвижная опора;1
H6.0.1-30.16(1);Металлоконструкции (швелер);Горизонтальный;Балка;110;3000;1.5;16;120-130;Подвижная опора;1
H6.0.1-30.17(1);Металлоконструкции (швелер);Горизонтальный;Балка;125;3000;1.5;17;135-143;Подвижная опора;1
H6.0.1-30.18(1);Металлоконструкции (швелер);Горизонтальный;Балка;140;3000;1.5;18;145-155;Подвижная опора;1
H6.0.1-30.19(1);Металлоконструкции (швелер);Горизонтальный;Балка;150;3000;1.5;19;162-170;Подвижная опора;1
H6.0.1-30.20(1);Металлоконструкции (швелер);Горизонтальный;Балка;175;3000;3.1;20;195-205;Подвижная опора;1
H6.0.1-30.21(1);Металлоконструкции (швелер);Горизонтальный;Балка;200;3000;3.1;21;207-219;Подвижная опора;1
H6.0.1-30.22(1);Металлоконструкции (швелер);Горизонтальный;Балка;225;3000;3.1;22;248-255;Подвижная опора;1
H6.0.1-30.23(1);Металлоконструкции (швелер);Горизонтальный;Балка;250;3000;3.1;23;260-274;Подвижная опора;1
H6.0.1-30.1(2);Металлоконструкции (швелер);Горизонтальный;Балка;8;3000;0.6;1;ноя.15;Рядовая опора;1
H6.0.1-30.2(2);Металлоконструкции (швелер);Горизонтальный;Балка;10;3000;0.6;2;16-19;Рядовая опора;1
H6.0.1-30.3(2);Металлоконструкции (швелер);Горизонтальный;Балка;15;3000;0.6;3;20-24;Рядовая опора;1
H6.0.1-30.4(2);Металлоконструкции (швелер);Горизонтальный;Балка;20;3000;0.6;4;25-28;Рядовая опора;1
H6.0.1-30.5(2);Металлоконструкции (швелер);Горизонтальный;Балка;25;3000;0.6;5;32-35;Рядовая опора;1
H6.0.1-30.6(2);Металлоконструкции (швелер);Горизонтальный;Балка;32;3000;0.6;6;39-46;Рядовая опора;1
H6.0.1-30.7(2);Металлоконструкции (швелер);Горизонтальный;Балка;40;3000;0.6;7;48-53;Рядовая опора;1
H6.0.1-30.8(2);Металлоконструкции (швелер);Горизонтальный;Балка;50;3000;0.9;8;53-58;Рядовая опора;1
H6.0.1-30.9(2);Металлоконструкции (швелер);Горизонтальный;Балка;50;3000;0.9;9;60-65;Рядовая опора;1
H6.0.1-30.10(2);Металлоконструкции (швелер);Горизонтальный;Балка;60;3000;0.9;10;67-71;Рядовая опора;1
H6.0.1-30.11(2);Металлоконструкции (швелер);Горизонтальный;Балка;65;3000;0.9;11;74-80;Рядовая опора;1
H6.0.1-30.12(2);Металлоконструкции (швелер);Горизонтальный;Балка;70;3000;0.9;12;81-86;Рядовая опора;1
H6.0.1-30.13(2);Металлоконструкции (швелер);Горизонтальный;Балка;80;3000;0.9;13;88-94;Рядовая опора;1
H6.0.1-30.14(2);Металлоконструкции (швелер);Горизонтальный;Балка;90;3000;1;14;99-105;Рядовая опора;1
H6.0.1-30.15(2);Металлоконструкции (швелер);Горизонтальный;Балка;100;3000;1;15;108-116;Рядовая опора;1
H6.0.1-30.16(2);Металлоконструкции (швелер);Горизонтальный;Балка;110;3000;1.5;16;120-130;Рядовая опора;1
H6.0.1-30.17(2);Металлоконструкции (швелер);Горизонтальный;Балка;125;3000;1.5;17;135-143;Рядовая опора;1
H6.0.1-30.18(2);Металлоконструкции (швелер);Горизонтальный;Балка;140;3000;1.5;18;145-155;Рядовая опора;1
H6.0.1-30.19(2);Металлоконструкции (швелер);Горизонтальный;Балка;150;3000;1.5;19;162-170;Рядовая опора;1
H6.0.1-30.20(2);Металлоконструкции (швелер);Горизонтальный;Балка;175;3000;3.1;20;195-205;Рядовая опора;1
H6.0.1-30.21(2);Металлоконструкции (швелер);Горизонтальный;Балка;200;3000;3.1;21;207-219;Рядовая опора;1
H6.0.1-30.22(2);Металлоконструкции (швелер);Горизонтальный;Балка;225;3000;3.1;22;248-255;Рядовая опора;1
H6.0.1-30.23(2);Металлоконструкции (швелер);Горизонтальный;Балка;250;3000;3.1;23;260-274;Рядовая опора;1
H6.0.1-31.1(1);Металлоконструкции (швелер);Горизонтальный;Балка;8;3000;0.6;1;ноя.15;Подвижная опора;1
H6.0.1-31.2(1);Металлоконструкции (швелер);Горизонтальный;Балка;10;3000;0.6;2;16-19;Подвижная опора;1
H6.0.1-31.3(1);Металлоконструкции (швелер);Горизонтальный;Балка;15;3000;0.6;3;20-24;Подвижная опора;1
H6.0.1-31.4(1);Металлоконструкции (швелер);Горизонтальный;Балка;20;3000;0.6;4;25-28;Подвижная опора;1
H6.0.1-31.5(1);Металлоконструкции (швелер);Горизонтальный;Балка;25;3000;0.6;5;32-35;Подвижная опора;1
H6.0.1-31.6(1);Металлоконструкции (швелер);Горизонтальный;Балка;32;3000;0.6;6;39-46;Подвижная опора;1
H6.0.1-31.7(1);Металлоконструкции (швелер);Горизонтальный;Балка;40;3000;0.6;7;48-53;Подвижная опора;1
H6.0.1-31.8(1);Металлоконструкции (швелер);Горизонтальный;Балка;50;3000;0.75;8;53-58;Подвижная опора;1
H6.0.1-31.9(1);Металлоконструкции (швелер);Горизонтальный;Балка;50;3000;0.75;9;60-65;Подвижная опора;1
H6.0.1-31.10(1);Металлоконструкции (швелер);Горизонтальный;Балка;60;3000;0.75;10;67-71;Подвижная опора;1
H6.0.1-31.11(1);Металлоконструкции (швелер);Горизонтальный;Балка;65;3000;0.75;11;74-80;Подвижная опора;1
H6.0.1-31.12(1);Металлоконструкции (швелер);Горизонтальный;Балка;70;3000;0.75;12;81-86;Подвижная опора;1
H6.0.1-31.13(1);Металлоконструкции (швелер);Горизонтальный;Балка;80;3000;0.75;13;88-94;Подвижная опора;1
H6.0.1-31.14(1);Металлоконструкции (швелер);Горизонтальный;Балка;90;3000;0.75;14;99-105;Подвижная опора;1
H6.0.1-31.15(1);Металлоконструкции (швелер);Горизонтальный;Балка;100;3000;0.75;15;108-116;Подвижная опора;1
H6.0.1-31.16(1);Металлоконструкции (швелер);Горизонтальный;Балка;110;3000;0.75;16;120-130;Подвижная опора;1
H6.0.1-31.17(1);Металлоконструкции (швелер);Горизонтальный;Балка;125;3000;0.75;17;135-143;Подвижная опора;1
H6.0.1-31.18(1);Металлоконструкции (швелер);Горизонтальный;Балка;140;3000;0.75;18;145-155;Подвижная опора;1
H6.0.1-31.19(1);Металлоконструкции (швелер);Горизонтальный;Балка;150;3000;0.75;19;162-170;Подвижная опора;1
H6.0.1-31.20(1);Металлоконструкции (швелер);Горизонтальный;Балка;175;3000;0.75;20;195-205;Подвижная опора;1
H6.0.1-31.21(1);Металлоконструкции (швелер);Горизонтальный;Балка;200;3000;0.75;21;207-219;Подвижная опора;1
H6.0.1-31.22(1);Металлоконструкции (швелер);Горизонтальный;Балка;225;3000;0.75;22;248-255;Подвижная опора;1
H6.0.1-31.23(1);Металлоконструкции (швелер);Горизонтальный;Балка;250;3000;0.75;23;260-274;Подвижная опора;1
H6.0.1-31.1(2);Металлоконструкции (швелер);Горизонтальный;Балка;8;3000;0.6;1;ноя.15;Рядовая опора;1
H6.0.1-31.2(2);Металлоконструкции (швелер);Горизонтальный;Балка;10;3000;0.6;2;16-19;Рядовая опора;1
H6.0.1-31.3(2);Металлоконструкции (швелер);Горизонтальный;Балка;15;3000;0.6;3;20-24;Рядовая опора;1
H6.0.1-31.4(2);Металлоконструкции (швелер);Горизонтальный;Балка;20;3000;0.6;4;25-28;Рядовая опора;1
H6.0.1-31.5(2);Металлоконструкции (швелер);Горизонтальный;Балка;25;3000;0.6;5;32-35;Рядовая опора;1
H6.0.1-31.6(2);Металлоконструкции (швелер);Горизонтальный;Балка;32;3000;0.6;6;39-46;Рядовая опора;1
H6.0.1-31.7(2);Металлоконструкции (швелер);Горизонтальный;Балка;40;3000;0.6;7;48-53;Рядовая опора;1
H6.0.1-31.8(2);Металлоконструкции (швелер);Горизонтальный;Балка;50;3000;0.75;8;53-58;Рядовая опора;1
H6.0.1-31.9(2);Металлоконструкции (швелер);Горизонтальный;Балка;50;3000;0.75;9;60-65;Рядовая опора;1
H6.0.1-31.10(2);Металлоконструкции (швелер);Горизонтальный;Балка;60;3000;0.75;10;67-71;Рядовая опора;1
H6.0.1-31.11(2);Металлоконструкции (швелер);Горизонтальный;Балка;65;3000;0.75;11;74-80;Рядовая опора;1
H6.0.1-31.12(2);Металлоконструкции (швелер);Горизонтальный;Балка;70;3000;0.75;12;81-86;Рядовая опора;1
H6.0.1-31.13(2);Металлоконструкции (швелер);Горизонтальный;Балка;80;3000;0.75;13;88-94;Рядовая опора;1
H6.0.1-31.14(2);Металлоконструкции (швелер);Горизонтальный;Балка;90;3000;0.75;14;99-105;Рядовая опора;1
H6.0.1-31.15(2);Металлоконструкции (швелер);Горизонтальный;Балка;100;3000;0.75;15;108-116;Рядовая опора;1
H6.0.1-31.16(2);Металлоконструкции (швелер);Горизонтальный;Балка;110;3000;0.75;16;120-130;Рядовая опора;1
H6.0.1-31.17(2);Металлоконструкции (швелер);Горизонтальный;Балка;125;3000;0.75;17;135-143;Рядовая опора;1
H6.0.1-31.18(2);Металлоконструкции (швелер);Горизонтальный;Балка;140;3000;0.75;18;145-155;Рядовая опора;1
H6.0.1-31.19(2);Металлоконструкции (швелер);Горизонтальный;Балка;150;3000;0.75;19;162-170;Рядовая опора;1
H6.0.1-31.20(2);Металлоконструкции (швелер);Горизонтальный;Балка;175;3000;0.75;20;195-205;Рядовая опора;1
H6.0.1-31.21(2);Металлоконструкции (швелер);Горизонтальный;Балка;200;3000;0.75;21;207-219;Рядовая опора;1
H6.0.1-31.22(2);Металлоконструкции (швелер);Горизонтальный;Балка;225;3000;0.75;22;248-255;Рядовая опора;1
H6.0.1-31.23(2);Металлоконструкции (швелер);Горизонтальный;Балка;250;3000;0.75;23;260-274;Рядовая опора;1
H6.0.1-32.15(1);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;100;200;1.5;15;108-116;Рядовая опора;1
H6.0.1-32.16(1);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;110;200;1.5;16;120-130;Рядовая опора;1
H6.0.1-32.17(1);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;125;200;1.5;17;135-143;Рядовая опора;1
H6.0.1-32.18(1);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;140;200;1.5;18;145-155;Рядовая опора;1
H6.0.1-32.19(1);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;150;200;1.5;19;162-170;Рядовая опора;1
H6.0.1-32.20(1);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;175;200;1.5;20;195-205;Рядовая опора;1
H6.0.1-32.21(1);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;200;200;1.5;21;207-219;Рядовая опора;1
H6.0.1-32.22(1);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;225;200;1.5;22;248-255;Рядовая опора;1
H6.0.1-32.23(1);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;250;200;1.5;23;260-274;Рядовая опора;1
H6.0.1-32.15(2);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;100;400;1.5;15;108-116;Рядовая опора;1
H6.0.1-32.16(2);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;110;400;1.5;16;120-130;Рядовая опора;1
H6.0.1-32.17(2);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;125;400;1.5;17;135-143;Рядовая опора;1
H6.0.1-32.18(2);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;140;400;1.5;18;145-155;Рядовая опора;1
H6.0.1-32.19(2);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;150;400;1.5;19;162-170;Рядовая опора;1
H6.0.1-32.20(2);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;175;400;1.5;20;195-205;Рядовая опора;1
H6.0.1-32.21(2);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;200;400;1.5;21;207-219;Рядовая опора;1
H6.0.1-32.22(2);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;225;400;1.5;22;248-255;Рядовая опора;1
H6.0.1-32.23(2);Металлоконструкции (прямоуг. труба);Вертикальный;Балка;250;400;1.5;23;260-274;Рядовая опора;1
H6.0.1-33.1(1);Металлоконструкции (швелер);Горизонтальный;Балка;8;6000;0.6;1;ноя.15;Подвижная опора;1
H6.0.1-33.2(1);Металлоконструкции (швелер);Горизонтальный;Балка;10;6000;0.6;2;16-19;Подвижная опора;1
H6.0.1-33.3(1);Металлоконструкции (швелер);Горизонтальный;Балка;15;6000;0.6;3;20-24;Подвижная опора;1
H6.0.1-33.4(1);Металлоконструкции (швелер);Горизонтальный;Балка;20;6000;0.6;4;25-28;Подвижная опора;1
H6.0.1-33.5(1);Металлоконструкции (швелер);Горизонтальный;Балка;25;6000;0.6;5;32-35;Подвижная опора;1
H6.0.1-33.6(1);Металлоконструкции (швелер);Горизонтальный;Балка;32;6000;0.6;6;39-46;Подвижная опора;1
H6.0.1-33.7(1);Металлоконструкции (швелер);Горизонтальный;Балка;40;6000;0.6;7;48-53;Подвижная опора;1
H6.0.1-33.8(1);Металлоконструкции (швелер);Горизонтальный;Балка;50;6000;0.9;8;53-58;Подвижная опора;1
H6.0.1-33.9(1);Металлоконструкции (швелер);Горизонтальный;Балка;50;6000;0.9;9;60-65;Подвижная опора;1
H6.0.1-33.10(1);Металлоконструкции (швелер);Горизонтальный;Балка;60;6000;0.9;10;67-71;Подвижная опора;1
H6.0.1-33.11(1);Металлоконструкции (швелер);Горизонтальный;Балка;65;6000;0.9;11;74-80;Подвижная опора;1
H6.0.1-33.12(1);Металлоконструкции (швелер);Горизонтальный;Балка;70;6000;0.9;12;81-86;Подвижная опора;1
H6.0.1-33.13(1);Металлоконструкции (швелер);Горизонтальный;Балка;80;6000;0.9;13;88-94;Подвижная опора;1
H6.0.1-33.14(1);Металлоконструкции (швелер);Горизонтальный;Балка;90;6000;1;14;99-105;Подвижная опора;1
H6.0.1-33.15(1);Металлоконструкции (швелер);Горизонтальный;Балка;100;6000;1;15;108-116;Подвижная опора;1
H6.0.1-33.16(1);Металлоконструкции (швелер);Горизонтальный;Балка;110;6000;1.5;16;120-130;Подвижная опора;1
H6.0.1-33.17(1);Металлоконструкции (швелер);Горизонтальный;Балка;125;6000;1.5;17;135-143;Подвижная опора;1
H6.0.1-33.18(1);Металлоконструкции (швелер);Горизонтальный;Балка;140;6000;1.5;18;145-155;Подвижная опора;1
H6.0.1-33.19(1);Металлоконструкции (швелер);Горизонтальный;Балка;150;6000;1.5;19;162-170;Подвижная опора;1
H6.0.1-33.20(1);Металлоконструкции (швелер);Горизонтальный;Балка;175;6000;3.1;20;195-205;Подвижная опора;1
H6.0.1-33.21(1);Металлоконструкции (швелер);Горизонтальный;Балка;200;6000;3.1;21;207-219;Подвижная опора;1
H6.0.1-33.22(1);Металлоконструкции (швелер);Горизонтальный;Балка;225;6000;3.1;22;248-255;Подвижная опора;1
H6.0.1-33.23(1);Металлоконструкции (швелер);Горизонтальный;Балка;250;6000;3.1;23;260-274;Подвижная опора;1
H6.0.1-33.1(2);Металлоконструкции (швелер);Горизонтальный;Балка;8;6000;0.6;1;ноя.15;Рядовая опора;1
H6.0.1-33.2(2);Металлоконструкции (швелер);Горизонтальный;Балка;10;6000;0.6;2;16-19;Рядовая опора;1
H6.0.1-33.3(2);Металлоконструкции (швелер);Горизонтальный;Балка;15;6000;0.6;3;20-24;Рядовая опора;1
H6.0.1-33.4(2);Металлоконструкции (швелер);Горизонтальный;Балка;20;6000;0.6;4;25-28;Рядовая опора;1
H6.0.1-33.5(2);Металлоконструкции (швелер);Горизонтальный;Балка;25;6000;0.6;5;32-35;Рядовая опора;1
H6.0.1-33.6(2);Металлоконструкции (швелер);Горизонтальный;Балка;32;6000;0.6;6;39-46;Рядовая опора;1
H6.0.1-33.7(2);Металлоконструкции (швелер);Горизонтальный;Балка;40;6000;0.6;7;48-53;Рядовая опора;1
H6.0.1-33.8(2);Металлоконструкции (швелер);Горизонтальный;Балка;50;6000;0.9;8;53-58;Рядовая опора;1
H6.0.1-33.9(2);Металлоконструкции (швелер);Горизонтальный;Балка;50;6000;0.9;9;60-65;Рядовая опора;1
H6.0.1-33.10(2);Металлоконструкции (швелер);Горизонтальный;Балка;60;6000;0.9;10;67-71;Рядовая опора;1
H6.0.1-33.11(2);Металлоконструкции (швелер);Горизонтальный;Балка;65;6000;0.9;11;74-80;Рядовая опора;1
H6.0.1-33.12(2);Металлоконструкции (швелер);Горизонтальный;Балка;70;6000;0.9;12;81-86;Рядовая опора;1
H6.0.1-33.13(2);Металлоконструкции (швелер);Горизонтальный;Балка;80;6000;0.9;13;88-94;Рядовая опора;1
H6.0.1-33.14(2);Металлоконструкции (швелер);Горизонтальный;Балка;90;6000;1;14;99-105;Рядовая опора;1
H6.0.1-33.15(2);Металлоконструкции (швелер);Горизонтальный;Балка;100;6000;1;15;108-116;Рядовая опора;1
H6.0.1-33.16(2);Металлоконструкции (швелер);Горизонтальный;Балка;110;6000;1.5;16;120-130;Рядовая опора;1
H6.0.1-33.17(2);Металлоконструкции (швелер);Горизонтальный;Балка;125;6000;1.5;17;135-143;Рядовая опора;1
H6.0.1-33.18(2);Металлоконструкции (швелер);Горизонтальный;Балка;140;6000;1.5;18;145-155;Рядовая опора;1
H6.0.1-33.19(2);Металлоконструкции (швелер);Горизонтальный;Балка;150;6000;1.5;19;162-170;Рядовая опора;1
H6.0.1-33.20(2);Металлоконструкции (швелер);Горизонтальный;Балка;175;6000;3.1;20;195-205;Рядовая опора;1
H6.0.1-33.21(2);Металлоконструкции (швелер);Горизонтальный;Балка;200;6000;3.1;21;207-219;Рядовая опора;1
H6.0.1-33.22(2);Металлоконструкции (швелер);Горизонтальный;Балка;225;6000;3.1;22;248-255;Рядовая опора;1
H6.0.1-33.23(2);Металлоконструкции (швелер);Горизонтальный;Балка;250;6000;3.1;23;260-274;Рядовая опора;1
H6.0.1-34.1(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;8;200;0.6;1;ноя.15;Рядовая опора;1
H6.0.1-34.2(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;10;200;0.6;2;16-19;Рядовая опора;1
H6.0.1-34.3(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;15;200;0.6;3;20-24;Рядовая опора;1
H6.0.1-34.4(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;20;200;0.6;4;25-28;Рядовая опора;1
H6.0.1-34.5(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;25;200;0.6;5;32-35;Рядовая опора;1
H6.0.1-34.6(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;32;200;0.6;6;39-46;Рядовая опора;1
H6.0.1-34.7(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;40;200;0.6;7;48-53;Рядовая опора;1
H6.0.1-34.8(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;50;200;0.9;8;53-58;Рядовая опора;1
H6.0.1-34.9(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;50;200;0.9;9;60-65;Рядовая опора;1
H6.0.1-34.10(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;60;200;0.9;10;67-71;Рядовая опора;1
H6.0.1-34.11(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;65;200;0.9;11;74-80;Рядовая опора;1
H6.0.1-34.12(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;70;200;0.9;12;81-86;Рядовая опора;1
H6.0.1-34.13(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;80;200;0.9;13;88-94;Рядовая опора;1
H6.0.1-34.14(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;90;200;1;14;99-105;Рядовая опора;1
H6.0.1-34.15(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;100;200;1;15;108-116;Рядовая опора;1
H6.0.1-34.16(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;110;200;1.5;16;120-130;Рядовая опора;1
H6.0.1-34.17(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;125;200;1.5;17;135-143;Рядовая опора;1
H6.0.1-34.18(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;140;200;1.5;18;145-155;Рядовая опора;1
H6.0.1-34.19(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;150;200;1.5;19;162-170;Рядовая опора;1
H6.0.1-34.20(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;175;200;3.1;20;195-205;Рядовая опора;1
H6.0.1-34.21(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;200;200;3.1;21;207-219;Рядовая опора;1
H6.0.1-34.22(1);Металлоконструкции (двутавр);Горизонтальный;Колонна;225;200;3.1;22;248-255;Рядовая опора;1
