номер_опоры;Сечение воздуховода;Ширина/диаметр воздуховода;Нагрузка;Шаг опор;Максимальная высота опоры
Н7.2.1-7.2;Круглый;100;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-7.3;Круглый;125;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-7.4;Круглый;140;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-7.5;Круглый;150;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-7.6;Круглый;160;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-7.7;Круглый;180;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-7.8;Круглый;200;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-7.9;Круглый;224;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-7.10;Круглый;250;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-7.11;Круглый;280;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-7.12;Круглый;300;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-7.13;Круглый;315;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-7.14;Круглый;355;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-7.15;Круглый;400;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-8.1;Круглый;450;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-8.2;Круглый;500;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-8.3;Круглый;560;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-8.4;Круглый;600;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-8.5;Круглый;630;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-8.6;Круглый;710;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-8.7;Круглый;800;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-8.8;Круглый;900;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-8.9;Круглый;1000;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-9.1;Круглый;1120;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-9.2;Круглый;1250;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-10.1;Круглый;80;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-10.2;Круглый;100;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-10.3;Круглый;125;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-10.4;Круглый;140;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-10.5;Круглый;150;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-10.6;Круглый;160;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-10.7;Круглый;180;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-10.8;Круглый;200;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-10.9;Круглый;224;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-10.10;Круглый;250;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-10.11;Круглый;280;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-10.12;Круглый;300;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-10.13;Круглый;315;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-10.14;Круглый;355;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-10.15;Круглый;400;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-11.1;Круглый;450;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-11.2;Круглый;500;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-11.3;Круглый;560;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-11.4;Круглый;600;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-11.5;Круглый;630;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-11.6;Круглый;710;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-11.7;Круглый;800;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-12.1;Круглый;900;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;750
Н7.2.1-12.2;Круглый;1000;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;750
Н7.2.1-12.3;Круглый;1120;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;750
Н7.2.1-12.4;Круглый;1250;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;750
Н7.2.1-13.1;Круглый;80;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;1000
Н7.2.1-13.1;Круглый;100;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;1000
Н7.2.1-13.1;Круглый;125;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;1000
Н7.2.1-13.1;Круглый;140;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;1000
Н7.2.1-13.2;Круглый;150;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;1000
